robot_id,timestamp,battery,motor_current,temperature,vibration,speed,operating_hours,navigation_errors,maintenance_risk,anomaly_score,anomaly,health_score,status
R01,30,57.61,8.26,35.77,2.62,1.6,4.5,1,0,1.685,0,100,Healthy
R01,31,57.4,9.27,42.26,3.11,1.77,4.65,1,0,1.67,0,100,Healthy
R01,32,57.28,8.62,44.57,2.86,2.46,4.8,2,0,3.916,0,100,Healthy
R01,33,57.03,7.62,45.79,1.96,1.44,4.95,1,0,1.5,0,100,Healthy
R01,34,56.86,5.85,43.79,2.21,1.52,5.1,0,0,1.931,0,100,Healthy
R01,35,56.61,6.93,40.33,3.59,1.53,5.25,0,0,1.827,0,100,Healthy
R01,36,56.4,16.43562020804333,66.03462917637384,6.723797146977686,1.71,5.4,5,1,6.883,1,25,Critical
R01,37,56.15,7.47,33.65,1.96,1.92,5.55,0,0,2.708,0,100,Healthy
R01,38,56.07,8.38,33.94,3.16,1.82,5.7,0,0,2.359,0,100,Healthy
R01,39,55.78,8.45,50.26,1.57,1.96,5.85,0,0,2.714,0,100,Healthy
R01,40,55.64,7.72,51.36,2.49,1.27,6.0,1,0,1.991,0,100,Healthy
R01,41,55.48,9.96,34.85,2.19,1.53,6.15,1,0,1.939,0,100,Healthy
R01,42,55.3,8.49,46.55,2.36,1.52,6.3,2,0,1.368,0,100,Healthy
R01,43,55.16,7.26,52.56,2.98,1.52,6.45,2,0,1.995,0,100,Healthy
R01,44,55.06,7.42,43.04,3.12,1.38,6.6,0,0,1.611,0,100,Healthy
R01,45,54.8,7.25,40.22,3.17,1.86,6.75,3,0,2.212,0,100,Healthy
R01,46,54.71,8.9,45.05,2.49,1.53,6.9,1,0,1.279,0,100,Healthy
R01,47,54.57,15.036289329769033,58.22430802150447,4.8325183215030805,1.57,7.05,7,1,5.568,1,25,Critical
R01,48,54.3,8.39,41.35,2.57,1.65,7.2,1,0,1.388,0,100,Healthy
R01,49,54.18,9.45,36.02,3.04,1.67,7.35,1,0,1.86,0,100,Healthy
R01,50,54.0,8.09,38.61,3.18,1.46,7.5,0,0,1.688,0,100,Healthy
R01,51,53.92,8.5,39.18,1.92,1.56,7.65,0,0,1.754,0,100,Healthy
R01,52,53.7,7.43,43.16,1.49,1.15,7.8,4,0,2.689,0,100,Healthy
R01,53,53.63,8.37,49.38,3.1,1.46,7.95,0,0,1.811,0,100,Healthy
R01,54,53.45,7.98,40.56,2.73,1.29,8.1,3,0,1.848,0,100,Healthy
R01,55,53.33,7.59,44.29,2.55,1.75,8.25,1,0,1.694,0,100,Healthy
R01,56,53.14,8.03,44.49,3.52,1.74,8.4,1,0,1.813,0,100,Healthy
R01,57,52.95,7.87,46.88,1.48,1.7,8.55,0,0,2.161,0,100,Healthy
R01,58,52.78,9.24,32.95,1.16,1.59,8.7,2,0,2.592,0,100,Healthy
R01,59,52.5,8.89,49.38,2.99,1.47,8.85,1,0,1.737,0,100,Healthy
R01,60,52.45,9.42,39.65,1.3,1.84,9.0,3,0,2.594,0,100,Healthy
R01,61,52.29,7.87,41.72,2.68,1.58,9.15,5,1,2.539,0,85,Healthy
R01,62,52.18,6.72,41.29,2.58,1.63,9.3,0,0,1.923,0,100,Healthy
R01,63,51.96,9.157152856974923,63.65413610394879,4.473234517874015,1.31,9.45,6,1,4.715,0,45,Critical
R01,64,51.7,19.125929782197698,62.61661538781886,5.524245139780264,1.74,9.6,7,1,7.459,1,25,Critical
R01,65,51.64,8.77,48.84,1.82,1.67,9.75,0,0,2.18,0,100,Healthy
R01,66,51.59,9.27,33.21,1.67,0.99,9.9,1,0,3.124,0,100,Healthy
R01,67,51.41,7.42,48.67,3.19,1.58,10.05,1,0,1.929,0,100,Healthy
R01,68,51.13,5.96,41.72,2.77,1.49,10.2,1,0,2.019,0,100,Healthy
R01,69,50.92,7.85,41.62,1.73,1.62,10.35,0,0,2.089,0,100,Healthy
R01,70,50.65,10.47,40.4,2.19,1.38,10.5,0,0,2.214,0,100,Healthy
R01,71,50.56,7.02,39.2,1.5,1.45,10.65,0,0,2.351,0,100,Healthy
R01,72,50.38,7.88,42.21,2.86,1.8,10.8,0,0,2.217,0,100,Healthy
R01,73,50.11,9.02,38.9,1.98,1.64,10.95,0,0,2.195,0,100,Healthy
R01,74,49.97,10.85,40.45,2.06,0.95,11.1,1,0,3.108,0,100,Healthy
R01,75,49.86,14.093889576571366,58.18937333577183,11.189632709021915,1.78,11.25,6,1,9.297,1,25,Critical
R01,76,49.69,6.07,43.02,1.97,1.14,11.4,0,0,2.771,0,100,Healthy
R01,77,49.56,7.22,36.59,3.68,1.72,11.55,2,0,2.529,0,100,Healthy
R01,78,49.38,18.031391383980203,58.37316505626126,3.5751085998645884,1.45,11.7,4,1,5.773,1,60,Warning
R01,79,49.24,9.11,51.55,1.52,1.64,11.85,0,0,2.726,0,100,Healthy
R01,80,49.15,7.22,39.56,2.09,1.28,12.0,0,0,2.453,0,100,Healthy
R01,81,48.88,8.06,37.85,2.69,1.49,12.15,0,0,2.26,0,100,Healthy
R01,82,48.73,7.31,45.78,2.85,1.26,12.3,2,0,2.338,0,100,Healthy
R01,83,48.61,7.2,44.85,1.97,1.05,12.45,1,0,2.85,0,100,Healthy
R01,84,48.53,6.17,45.99,1.7,1.57,12.6,1,0,2.559,0,100,Healthy
R01,85,48.47,6.97,40.08,3.2,1.36,12.75,0,0,2.471,0,100,Healthy
R01,86,48.24,8.64,49.21,0.77,1.3,12.9,0,0,3.12,0,100,Healthy
R01,87,47.96,8.45,38.98,2.56,1.46,13.05,2,0,2.267,0,100,Healthy
R01,88,47.71,7.41,39.84,2.78,1.39,13.2,1,0,2.338,0,100,Healthy
R01,89,47.57,7.68,46.74,2.32,1.83,13.35,1,0,2.657,0,100,Healthy
R01,90,47.45,8.02,50.38,2.73,1.45,13.5,1,0,2.516,0,100,Healthy
R01,91,47.17,6.94,43.43,2.62,1.64,13.65,0,0,2.56,0,100,Healthy
R01,92,47.09,8.61,48.24,3.18,1.52,13.8,1,0,2.475,0,100,Healthy
R01,93,46.96,9.0,37.72,2.55,1.38,13.95,2,0,2.558,0,100,Healthy
R01,94,46.7,7.68,37.11,2.19,1.59,14.1,0,0,2.737,0,100,Healthy
R01,95,46.47,9.04,48.78,2.79,1.97,14.25,0,0,3.231,0,100,Healthy
R01,96,46.34,5.87,49.48,2.96,1.49,14.4,0,0,3.009,0,100,Healthy
R01,97,46.14,10.93,42.65,2.58,1.68,14.55,3,0,2.973,0,100,Healthy
R01,98,45.95,6.39,51.43,2.63,1.53,14.7,2,0,2.998,0,100,Healthy
R01,99,45.65,11.05,44.62,2.09,1.47,14.85,0,0,3.0,0,100,Healthy
R02,0,88.12,6.79,33.73,3.08,1.52,0.0,0,0,2.863,0,100,Healthy
R02,1,87.98,7.6,50.35,2.32,1.12,0.15,0,0,2.994,0,100,Healthy
R02,2,87.89,4.76,41.73,2.34,1.67,0.3,1,0,2.882,0,100,Healthy
R02,3,87.84,6.78,44.58,1.94,1.46,0.45,2,0,2.396,0,100,Healthy
R02,4,87.77,10.910797403803,59.65134844711094,4.640980825331392,1.54,0.6,7,1,5.041,0,45,Critical
R02,5,87.71,11.08,36.46,3.47,0.84,0.75,1,0,3.742,0,100,Healthy
R02,6,87.52,7.59,40.14,1.51,1.31,0.9,1,0,2.492,0,100,Healthy
R02,7,87.46,8.58,38.14,2.44,1.51,1.05,0,0,2.258,0,100,Healthy
R02,8,87.36,8.12,41.35,2.85,1.24,1.2,0,0,2.347,0,100,Healthy
R02,9,87.28,8.98,37.3,2.66,1.56,1.35,1,0,2.139,0,100,Healthy
R02,10,87.18,8.71,40.45,2.73,1.19,1.5,2,0,2.307,0,100,Healthy
R02,11,87.04,7.15,34.96,1.41,1.65,1.65,1,0,2.676,0,100,Healthy
R02,12,86.86,5.9,39.28,3.18,1.49,1.8,1,0,2.321,0,100,Healthy
R02,13,86.8,8.37,33.45,1.56,1.69,1.95,0,0,2.756,0,100,Healthy
R02,14,86.54,8.02,43.74,2.12,1.31,2.1,0,0,2.131,0,100,Healthy
R02,15,86.26,8.24,37.11,2.79,1.07,2.25,2,0,2.597,0,100,Healthy
R02,16,86.21,8.31,46.91,3.67,1.75,2.4,0,0,2.335,0,100,Healthy
R02,17,85.93,5.79,35.6,2.06,1.51,2.55,0,0,2.571,0,100,Healthy
R02,18,85.7,8.22,38.22,2.07,1.15,2.7,0,0,2.443,0,100,Healthy
R02,19,85.56,6.83,47.27,1.84,2.16,2.85,3,0,3.386,0,100,Healthy
R02,20,85.5,8.73,34.4,2.5,1.34,3.0,1,0,2.158,0,100,Healthy
R02,21,85.26,7.96,50.85,2.06,1.95,3.15,0,0,2.767,0,100,Healthy
R02,22,85.0,8.76,46.86,2.94,1.11,3.3,0,0,2.343,0,100,Healthy
R02,23,84.93,12.429736045840363,60.821377471653534,4.264851308123458,1.17,3.45,9,1,5.952,1,25,Critical
R02,24,84.71,7.46,45.16,1.43,1.49,3.6,2,0,1.961,0,100,Healthy
R02,25,84.48,8.98,42.67,2.81,1.45,3.75,4,0,2.054,0,100,Healthy
R02,26,84.35,6.31,44.51,1.77,1.82,3.9,1,0,2.285,0,100,Healthy
R02,27,84.22,9.74,42.98,3.22,1.13,4.05,2,0,2.144,0,100,Healthy
R02,28,84.17,8.1,47.33,2.14,1.85,4.2,1,0,2.055,0,100,Healthy
R02,29,83.9,5.98,33.21,1.89,1.7,4.35,0,0,2.653,0,100,Healthy
R02,30,83.76,6.79,36.75,1.15,1.2,4.5,1,0,2.576,0,100,Healthy
R02,31,83.47,9.18,40.93,2.47,1.67,4.65,1,0,1.466,0,100,Healthy
R02,32,83.17,9.4,50.11,1.4,1.52,4.8,0,0,2.176,0,100,Healthy
R02,33,83.07,8.67,38.89,2.15,1.46,4.95,4,0,2.051,0,100,Healthy
R02,34,82.92,8.96,47.24,2.74,1.41,5.1,0,0,1.545,0,100,Healthy
R02,35,82.81,10.83,46.69,1.91,1.54,5.25,1,0,1.838,0,100,Healthy
R02,36,82.73,8.34,43.67,2.96,2.0,5.4,0,0,2.339,0,100,Healthy
R02,37,82.58,6.34,38.35,2.48,1.95,5.55,0,0,2.503,0,100,Healthy
R02,38,82.47,7.38,43.12,2.49,1.8,5.7,1,0,1.638,0,100,Healthy
R02,39,82.22,9.59,36.34,1.35,1.62,5.85,4,0,2.516,0,100,Healthy
R02,40,81.99,8.6,46.29,3.21,1.88,6.0,1,0,1.878,0,100,Healthy
R02,41,81.72,13.999873185197645,54.21410123382637,5.448415785050189,1.3,6.15,5,1,4.722,0,45,Critical
R02,42,81.47,8.03,48.39,2.63,1.51,6.3,1,0,1.234,0,100,Healthy
R02,43,81.26,9.79,43.07,2.69,1.4,6.45,2,0,1.207,0,100,Healthy
R02,44,81.05,8.21,44.04,2.37,1.4,6.6,1,0,1.019,0,100,Healthy
R02,45,80.85,9.43,34.38,2.11,1.59,6.75,1,0,1.769,0,100,Healthy
R02,46,80.8,7.84,31.82,3.01,1.77,6.9,1,0,2.215,0,100,Healthy
R02,47,80.5,9.005859906927183,41.65437625552693,5.367958774103362,1.37,7.05,6,1,3.743,0,65,Warning
R02,48,80.43,9.35,48.55,2.34,1.21,7.2,2,0,1.739,0,100,Healthy
R02,49,80.28,9.08,40.97,2.0,1.33,7.35,0,0,1.501,0,100,Healthy
R02,50,80.07,9.14,40.29,2.85,1.49,7.5,0,0,1.208,0,100,Healthy
R02,51,79.8,8.85,45.61,2.82,1.65,7.65,1,0,1.037,0,100,Healthy
R02,52,79.74,8.24,45.55,2.44,1.86,7.8,0,0,1.796,0,100,Healthy
R02,53,79.66,7.19,51.0,2.47,1.14,7.95,0,0,2.232,0,100,Healthy
R02,54,79.46,9.01,38.74,2.19,1.03,8.1,0,0,2.291,0,100,Healthy
R02,55,79.4,7.46,29.88,1.39,1.69,8.25,3,0,2.776,0,100,Healthy
R02,56,79.23,7.68,39.98,4.18,1.49,8.4,2,1,1.706,0,80,Healthy
R02,57,79.09,6.95,42.19,2.31,1.48,8.55,0,0,1.34,0,100,Healthy
R02,58,78.95,8.23,36.69,3.19,1.66,8.7,0,0,1.629,0,100,Healthy
R02,59,78.85,8.33,38.01,3.77,1.59,8.85,3,0,1.76,0,100,Healthy
R02,60,78.6,9.58,42.99,3.95,1.33,9.0,2,0,1.664,0,100,Healthy
R02,61,78.53,7.22,39.58,2.28,1.61,9.15,1,0,1.251,0,100,Healthy
R02,62,78.44,8.74,47.65,4.58,1.48,9.3,1,1,2.043,0,80,Healthy
R02,63,78.14,8.05,42.6,2.93,1.24,9.45,0,0,1.519,0,100,Healthy
R02,64,78.08,7.69,33.66,2.78,1.66,9.6,1,0,1.8,0,100,Healthy
R02,65,77.95,6.13,52.01,2.43,1.95,9.75,2,0,2.631,0,100,Healthy
R02,66,77.83,8.96,42.9,2.87,1.19,9.9,2,0,1.538,0,100,Healthy
R02,67,77.6,8.39,40.54,1.34,1.49,10.05,2,0,1.606,0,100,Healthy
R02,68,77.46,6.61,43.6,2.76,1.48,10.2,0,0,1.452,0,100,Healthy
R02,69,77.24,9.33,38.46,1.41,1.43,10.35,0,0,1.883,0,100,Healthy
R02,70,77.15,5.49,43.27,2.32,1.81,10.5,0,0,2.227,0,100,Healthy
R02,71,76.95,12.773781702390831,54.699536257133644,4.6916278608046635,1.81,10.65,9,1,5.629,1,45,Critical
R02,72,76.75,7.64,43.9,2.27,1.36,10.8,0,0,1.443,0,100,Healthy
R02,73,76.57,7.84,36.83,2.37,1.61,10.95,1,0,1.486,0,100,Healthy
R02,74,76.48,9.1,43.73,3.2,0.78,11.1,1,0,3.039,0,100,Healthy
R02,75,76.4,6.87,45.22,2.69,1.34,11.25,2,0,1.492,0,100,Healthy
R02,76,76.17,7.96,52.02,3.17,1.58,11.4,1,0,1.805,0,100,Healthy
R02,77,75.89,9.33,47.94,2.95,1.21,11.55,1,0,1.793,0,100,Healthy
R02,78,75.81,9.21,40.74,2.74,1.86,11.7,2,0,1.859,0,100,Healthy
R02,79,75.68,9.26,44.85,3.01,1.66,11.85,1,0,1.386,0,100,Healthy
R02,80,75.6,7.79,42.08,1.73,1.14,12.0,1,0,2.069,0,100,Healthy
R02,81,75.45,6.14,40.48,1.59,1.35,12.15,0,0,2.188,0,100,Healthy
R02,82,75.25,9.31,49.67,0.93,1.33,12.3,2,0,2.429,0,100,Healthy
R02,83,75.2,6.61,34.34,3.51,1.04,12.45,1,0,2.82,0,100,Healthy
R02,84,74.96,8.71,46.27,3.03,1.57,12.6,0,0,1.595,0,100,Healthy
R02,85,74.67,7.1,40.6,1.31,1.48,12.75,0,0,2.117,0,100,Healthy
R02,86,74.55,8.22,48.96,3.14,1.11,12.9,1,0,2.251,0,100,Healthy
R02,87,74.39,7.84,41.2,1.82,1.64,13.05,2,0,1.744,0,100,Healthy
R02,88,74.2,9.68,41.62,2.09,1.52,13.2,2,0,1.653,0,100,Healthy
R02,89,73.95,7.66,44.01,2.85,1.18,13.35,1,0,1.941,0,100,Healthy
R02,90,73.67,6.51,38.54,2.0,1.72,13.5,1,0,2.14,0,100,Healthy
R02,91,73.46,8.29,38.09,4.06,1.19,13.65,0,1,2.531,0,80,Healthy
R02,92,73.22,7.58,44.27,3.36,1.91,13.8,1,0,2.307,0,100,Healthy
R02,93,73.07,7.89,54.9,1.94,1.91,13.95,1,0,2.941,0,100,Healthy
R02,94,72.85,8.36,39.33,1.36,1.64,14.1,0,0,2.276,0,100,Healthy
R02,95,72.78,6.68,38.44,2.09,1.45,14.25,1,0,2.045,0,100,Healthy
R02,96,72.53,8.28,34.22,2.73,1.71,14.4,1,0,2.272,0,100,Healthy
R02,97,72.4,8.83,51.73,2.32,1.93,14.55,0,0,2.818,0,100,Healthy
R02,98,72.21,6.81,45.15,1.86,1.52,14.7,1,0,2.058,0,100,Healthy
R02,99,72.07,15.365269469665696,62.97215903804774,3.8122950230037214,1.42,14.85,10,1,6.944,1,45,Critical
R03,0,77.34,7.37,43.81,2.85,1.65,0.0,1,0,1.973,0,100,Healthy
R03,1,77.22,7.06,35.34,1.21,1.63,0.15,1,0,2.68,0,100,Healthy
R03,2,77.02,9.0,42.16,2.68,1.5,0.3,1,0,1.761,0,100,Healthy
R03,3,76.73,8.1,41.51,3.14,1.43,0.45,3,0,2.007,0,100,Healthy
R03,4,76.66,6.57,40.23,1.77,1.83,0.6,3,0,2.637,0,100,Healthy
R03,5,76.4,7.97,46.09,3.47,1.64,0.75,0,0,2.056,0,100,Healthy
R03,6,76.22,6.72,40.47,2.07,1.45,0.9,0,0,2.079,0,100,Healthy
R03,7,76.14,8.07,44.65,2.45,1.62,1.05,0,0,1.816,0,100,Healthy
R03,8,75.96,6.87,41.28,1.65,1.65,1.2,2,0,2.081,0,100,Healthy
R03,9,75.9,7.74,49.45,2.6,1.42,1.35,1,0,1.833,0,100,Healthy
R03,10,75.81,7.56,38.47,2.71,1.34,1.5,0,0,1.933,0,100,Healthy
R03,11,75.63,6.16,46.56,2.85,2.07,1.65,1,0,2.888,0,100,Healthy
R03,12,75.36,11.313944847577993,56.619114060333985,3.04639075801421,1.05,1.8,8,1,5.023,0,65,Warning
R03,13,75.21,7.53,41.92,3.1,1.3,1.95,0,0,1.825,0,100,Healthy
R03,14,75.02,6.81,41.85,1.13,2.02,2.1,1,0,2.918,0,100,Healthy
R03,15,74.85,7.47,37.58,2.38,1.93,2.25,1,0,2.315,0,100,Healthy
R03,16,74.69,8.34,43.04,3.3,1.22,2.4,1,0,1.742,0,100,Healthy
R03,17,74.43,10.59,38.97,3.02,1.57,2.55,2,0,1.767,0,100,Healthy
R03,18,74.25,8.55,38.61,3.91,1.53,2.7,0,0,1.903,0,100,Healthy
R03,19,74.18,7.56,42.92,1.56,1.26,2.85,0,0,2.004,0,100,Healthy
R03,20,73.93,6.74,44.68,3.33,1.68,3.0,0,0,1.805,0,100,Healthy
R03,21,73.88,9.2,38.22,1.5,1.88,3.15,0,0,2.39,0,100,Healthy
R03,22,73.8,9.59,44.78,2.82,2.04,3.3,0,0,2.505,0,100,Healthy
R03,23,73.51,7.23,46.64,2.54,1.57,3.45,2,0,1.326,0,100,Healthy
R03,24,73.29,7.56,37.8,1.77,1.01,3.6,1,0,2.485,0,100,Healthy
R03,25,73.01,7.42,40.34,2.65,1.46,3.75,1,0,1.126,0,100,Healthy
R03,26,72.75,7.8,43.41,2.33,1.9,3.9,3,0,2.034,0,100,Healthy
R03,27,72.66,8.39,42.15,2.43,1.48,4.05,2,0,0.931,0,100,Healthy
R03,28,72.48,8.59,45.62,4.11,1.77,4.2,1,1,1.885,0,80,Healthy
R03,29,72.29,8.9,43.91,3.4,1.67,4.35,0,0,1.418,0,100,Healthy
R03,30,72.12,7.75,37.75,2.09,1.65,4.5,2,0,1.429,0,100,Healthy
R03,31,72.03,9.44,38.95,2.41,1.5,4.65,1,0,1.086,0,100,Healthy
R03,32,71.79,6.26,36.47,2.18,1.29,4.8,2,0,1.899,0,100,Healthy
R03,33,71.63,8.71,43.69,1.31,1.86,4.95,1,0,1.998,0,100,Healthy
R03,34,71.58,6.17,48.31,2.11,2.14,5.1,1,0,2.931,0,100,Healthy
R03,35,71.38,10.23,51.43,3.64,1.74,5.25,1,0,2.061,0,100,Healthy
R03,36,71.13,7.02,41.98,2.38,1.39,5.4,3,0,1.371,0,100,Healthy
R03,37,70.97,12.530324651592418,55.537728605698454,3.2119385818252377,1.47,5.55,5,1,3.482,0,45,Critical
R03,38,70.77,8.23,44.88,3.8,1.23,5.7,1,0,1.571,0,100,Healthy
R03,39,70.61,7.55,47.44,3.82,1.89,5.85,0,0,2.161,0,100,Healthy
R03,40,70.47,8.17,33.16,2.73,1.46,6.0,0,0,1.75,0,100,Healthy
R03,41,70.32,8.62,39.34,1.68,0.78,6.15,0,0,3.139,0,100,Healthy
R03,42,70.25,7.97,50.86,3.66,1.39,6.3,1,0,1.597,0,100,Healthy
R03,43,70.04,8.47,39.13,2.75,1.53,6.45,0,0,1.011,0,100,Healthy
R03,44,69.98,6.83,37.54,2.75,1.44,6.6,0,0,1.427,0,100,Healthy
R03,45,69.86,7.64,49.84,2.13,1.5,6.75,0,0,1.451,0,100,Healthy
R03,46,69.58,13.704678210287412,52.59669329924907,2.8050556046972335,1.24,6.9,8,1,4.862,0,65,Warning
R03,47,69.37,8.08,44.58,1.41,1.37,7.05,2,0,1.396,0,100,Healthy
R03,48,69.16,8.35,35.22,2.83,1.49,7.2,1,0,1.237,0,100,Healthy
R03,49,69.08,7.49,39.29,2.94,1.39,7.35,1,0,0.927,0,100,Healthy
R03,50,69.0,8.51,45.47,2.62,1.41,7.5,1,0,0.567,0,100,Healthy
R03,51,68.83,6.48,41.71,2.19,2.0,7.65,1,0,2.225,0,100,Healthy
R03,52,68.65,8.02,38.36,2.37,1.84,7.8,0,0,1.726,0,100,Healthy
R03,53,68.4,7.22,38.0,2.16,1.26,7.95,2,0,1.515,0,100,Healthy
R03,54,68.13,7.65,34.18,3.12,1.48,8.1,1,0,1.507,0,100,Healthy
R03,55,68.05,9.25,44.53,3.42,1.36,8.25,1,0,1.031,0,100,Healthy
R03,56,67.87,9.1,38.66,3.81,1.77,8.4,1,0,1.678,0,100,Healthy
R03,57,67.6,6.54,42.59,3.19,1.66,8.55,0,0,1.46,0,100,Healthy
R03,58,67.33,7.68,44.42,2.12,1.37,8.7,2,0,1.008,0,100,Healthy
R03,59,67.17,7.12,43.02,2.63,1.56,8.85,2,0,0.873,0,100,Healthy
R03,60,66.87,9.38,49.16,1.67,1.44,9.0,0,0,1.681,0,100,Healthy
R03,61,66.68,10.15,43.12,1.94,1.65,9.15,3,0,1.608,0,100,Healthy
R03,62,66.56,9.58,41.41,1.01,1.35,9.3,2,0,1.901,0,100,Healthy
R03,63,66.46,9.01,44.73,2.33,1.41,9.45,0,0,1.131,0,100,Healthy
R03,64,66.33,9.94,40.39,3.35,1.88,9.6,0,0,2.028,0,100,Healthy
R03,65,66.07,8.48,41.88,1.87,1.58,9.75,1,0,1.075,0,100,Healthy
R03,66,65.84,7.52,44.62,2.14,1.69,9.9,2,0,1.273,0,100,Healthy
R03,67,65.72,9.23,35.42,3.01,1.67,10.05,1,0,1.597,0,100,Healthy
R03,68,65.44,14.348339595632355,64.42372584330255,5.338702588360879,1.26,10.2,5,1,5.514,1,25,Critical
R03,69,65.3,7.36,41.55,2.73,1.55,10.35,0,0,1.248,0,100,Healthy
R03,70,65.03,8.62,40.7,3.02,1.65,10.5,0,0,1.342,0,100,Healthy
R03,71,64.74,6.88,47.43,2.12,1.7,10.65,1,0,1.63,0,100,Healthy
R03,72,64.51,6.91,42.46,1.18,1.43,10.8,1,0,1.873,0,100,Healthy
R03,73,64.39,9.14,50.55,2.43,1.46,10.95,1,0,1.547,0,100,Healthy
R03,74,64.19,7.12,42.18,2.74,1.79,11.1,0,0,1.786,0,100,Healthy
R03,75,64.12,8.32,45.21,2.96,2.17,11.25,1,0,2.809,0,100,Healthy
R03,76,63.96,8.61,48.87,2.4,1.74,11.4,2,0,1.701,0,100,Healthy
R03,77,63.74,8.09,33.99,2.33,1.29,11.55,1,0,1.998,0,100,Healthy
R03,78,63.45,9.77,45.06,4.1,1.53,11.7,0,1,2.007,0,80,Healthy
R03,79,63.33,7.47,30.96,2.35,0.98,11.85,0,0,3.14,0,100,Healthy
R03,80,63.13,11.369398830615996,52.605169431075566,4.418927132775285,1.5,12.0,7,1,4.261,0,65,Warning
R03,81,63.03,9.3,39.11,2.84,2.18,12.15,0,0,3.087,0,100,Healthy
R03,82,62.74,7.07,41.03,1.88,1.57,12.3,0,0,1.84,0,100,Healthy
R03,83,62.57,7.98,47.38,2.22,1.34,12.45,1,0,1.678,0,100,Healthy
R03,84,62.41,8.32,44.54,1.39,1.72,12.6,3,0,2.211,0,100,Healthy
R03,85,62.21,15.232164239883641,57.35282098748216,3.3579236342700023,1.59,12.75,7,1,5.288,1,45,Critical
R03,86,62.06,7.75,37.06,2.41,1.52,12.9,0,0,1.905,0,100,Healthy
R03,87,61.92,11.706483029817253,63.52158091110623,3.917073447425411,1.85,13.05,8,1,5.6,1,65,Warning
R03,88,61.72,8.25,45.79,2.77,1.66,13.2,0,0,1.826,0,100,Healthy
R03,89,61.44,8.07,38.28,1.31,1.34,13.35,1,0,2.245,0,100,Healthy
R03,90,61.38,8.19,36.86,3.39,1.28,13.5,3,0,2.321,0,100,Healthy
R03,91,61.16,6.87,36.53,2.31,1.86,13.65,4,0,2.899,0,100,Healthy
R03,92,61.03,5.8,47.86,3.61,1.69,13.8,1,0,2.472,0,100,Healthy
R03,93,60.94,6.67,40.93,2.28,1.69,13.95,0,0,2.212,0,100,Healthy
R03,94,60.88,9.57,48.98,2.11,1.45,14.1,1,0,2.09,0,100,Healthy
R03,95,60.66,6.05,48.36,3.82,1.38,14.25,0,0,2.63,0,100,Healthy
